0.271872,-0.307715,-0.598903,1.07083
-0.125522,-0.0819336,-0.738165,0.74349
0.56717,-0.0523728,-0.262561,0.956386
-0.0965791,0.0454741,-0.223371,0.762121
0.269267,0.283329,-0.0881428,0.600446
0.643607,0.0777828,0.0328016,0.421595
0.437712,0.0871568,-0.0999073,0.224351
-0.235338,0.623613,-0.210786,0.517017
-0.0461052,-0.7792,-0.573151,0.319485
0.528223,0.333859,-0.453006,0.880886
0.204187,-0.761785,0.405033,1.0213
-0.368525,0.254605,-0.224595,0.668996
0.167662,-0.749708,-0.153132,0.48926
0.238314,0.48641,-0.350944,1.11782
0.0141931,0.247405,-0.394795,0.733504
0.375875,0.365605,-0.249681,0.0331569
-0.162945,0.549166,-0.733527,0.158809
0.0961046,-0.0257084,-0.0795697,0.33004
0.111823,-0.136897,0.241604,0.43055
0.799893,0.440702,-0.166315,0.492311
0.117635,0.539346,-0.541419,0.627707
0.205518,-0.233138,0.0485195,0.217003
0.0863713,0.0515144,0.112702,0.164356
0.150611,0.403123,-0.681678,0.110567
0.378469,0.114245,0.307701,0.621483
-0.384859,0.292853,-0.300713,0.484964
